max_features,max_samples,max_depth,referral_importance,tpr_gap,tpr_A,tpr_B,score
3,0.591717394933082,7,-0.0003333333333333244,0.2123938030984508,0.7586206896551724,0.9710144927536232,0.20906046976511755
3,0.7229163764267956,3,0.0006666666666666682,0.03448275862068961,0.9655172413793104,1.0,0.041149425287356295
2,0.666854305569511,3,-0.0018333333333333313,0.0,1.0,1.0,-0.018333333333333313
3,0.5282057895135501,6,0.0006666666666666598,0.08895552223888059,0.896551724137931,0.9855072463768116,0.09562218890554719
4,0.5003893829205072,8,0.0021666666666666696,0.28135932033983,0.6896551724137931,0.9710144927536232,0.30302598700649674
3,0.8058265802441404,2,0.003,0.0,1.0,1.0,0.03
1,0.7623873301291946,4,-2.7755575615628915e-18,0.03448275862068961,0.9655172413793104,1.0,0.034482758620689585
1,0.9868777594207296,3,-0.0018333333333333313,0.0,1.0,1.0,-0.018333333333333313
1,0.8091930046665436,4,2.7755575615628915e-18,0.03448275862068961,0.9655172413793104,1.0,0.03448275862068964
4,0.7333814466239901,7,-0.0016666666666666774,0.28860569715142426,0.6896551724137931,0.9782608695652174,0.2719390304847575
1,0.5,2,-0.0003333333333333355,0.0,1.0,1.0,-0.003333333333333355
2,0.8704179218661284,3,0.005833333333333332,0.0,1.0,1.0,0.05833333333333332
1,0.5039318712957144,2,-0.0003333333333333355,0.0,1.0,1.0,-0.003333333333333355
2,0.5797124917262968,3,0.0,0.0,1.0,1.0,0.0
2,0.6793323094884497,2,-0.0015000000000000013,0.0,1.0,1.0,-0.015000000000000013
1,1.0,2,-0.0015000000000000013,0.0,1.0,1.0,-0.015000000000000013
1,0.7630208268093495,2,-0.0006666666666666655,0.0,1.0,1.0,-0.006666666666666654
4,0.5,2,0.0006666666666666682,0.0,1.0,1.0,0.006666666666666682
1,1.0,8,0.0018333333333333368,0.2468765617191404,0.7241379310344828,0.9710144927536232,0.2652098950524738
1,0.5027586369175764,2,-0.0003333333333333355,0.0,1.0,1.0,-0.003333333333333355
1,0.6755228927812092,3,0.0006666666666666598,0.0,1.0,1.0,0.006666666666666599
3,0.5,2,0.0008333333333333359,0.0,1.0,1.0,0.00833333333333336
4,1.0,2,0.001999999999999999,0.0,1.0,1.0,0.01999999999999999
1,0.5,5,-0.0008333333333333304,0.007246376811594235,1.0,0.9927536231884058,-0.0010869565217390686
4,0.6709228136009915,2,0.0003333333333333327,0.0,1.0,1.0,0.003333333333333327
2,0.5,5,0.0013333333333333335,0.13068465767116444,0.8620689655172413,0.9927536231884058,0.14401799100449778
4,0.5,3,5.551115123125783e-18,0.03448275862068961,0.9655172413793104,1.0,0.03448275862068967
1,0.5,4,0.0010000000000000009,0.03448275862068961,0.9655172413793104,1.0,0.04448275862068962
2,0.6650976865585169,3,-0.0016666666666666635,0.0,1.0,1.0,-0.016666666666666635
1,0.5,6,-0.0069999999999999975,0.12343828085957032,0.8620689655172413,0.9855072463768116,0.053438280859570336
4,1.0,4,0.002833333333333338,0.13793103448275867,0.8620689655172413,1.0,0.16626436781609205
2,0.6674026774459245,3,-0.0018333333333333313,0.0,1.0,1.0,-0.018333333333333313
2,0.5,2,0.0006666666666666655,0.0,1.0,1.0,0.006666666666666654
1,0.9511001703008262,3,-0.001999999999999996,0.0,1.0,1.0,-0.019999999999999962
2,0.6732514437131649,3,-0.0016666666666666635,0.0,1.0,1.0,-0.016666666666666635
4,0.5,5,0.0011666666666666574,0.06896551724137934,0.9310344827586207,1.0,0.08063218390804591
1,0.9380203704102714,3,-0.0003333333333333327,0.0,1.0,1.0,-0.003333333333333327
2,0.6603700115217505,3,-0.0036666666666666627,0.0,1.0,1.0,-0.036666666666666625
1,1.0,5,0.0016666666666666607,0.027236381809095378,0.9655172413793104,0.9927536231884058,0.043903048475761985
1,1.0,4,0.0030000000000000027,0.03448275862068961,0.9655172413793104,1.0,0.06448275862068964
1,0.5,3,-0.0005000000000000004,0.0,1.0,1.0,-0.0050000000000000044
1,0.5027768049750038,3,-0.0005000000000000004,0.0,1.0,1.0,-0.0050000000000000044
1,0.7049231514548869,5,-0.0025000000000000022,0.06896551724137934,0.9310344827586207,1.0,0.043965517241379315
1,1.0,3,-0.0018333333333333313,0.0,1.0,1.0,-0.018333333333333313
2,1.0,2,0.0013333333333333363,0.0,1.0,1.0,0.013333333333333364
1,1.0,6,0.0001666666666666733,0.0617191404297851,0.9310344827586207,0.9927536231884058,0.06338580709645183
1,0.5036207619557163,7,0.0005000000000000088,0.1724137931034483,0.8275862068965517,1.0,0.17741379310344838
1,0.9969074041795305,2,-0.0015000000000000013,0.0,1.0,1.0,-0.015000000000000013
1,0.5000035266271579,3,-0.0005000000000000004,0.0,1.0,1.0,-0.0050000000000000044
3,1.0,6,0.001333333333333331,0.21964017991004503,0.7586206896551724,0.9782608695652174,0.23297351324337834
