max_features,max_samples,bootstrap,max_depth,referral_importance,tpr_gap,tpr_A,tpr_B,combined_score
1,0.5,True,3,-0.0005000000000000004,0.0,1.0,1.0,-0.1304347826086956
1,0.5,True,5,-0.0008333333333333304,0.007246376811594235,1.0,0.9927536231884058,-0.19496284340428274
1,0.5,True,7,-0.0010000000000000065,0.1724137931034483,0.8275862068965517,1.0,0.27277312619792055
1,0.6,True,3,-0.00016666666666666495,0.03448275862068961,0.9655172413793104,1.0,0.06325027741349779
1,0.6,True,5,-0.0031666666666666623,0.05447276361819098,0.9310344827586207,0.9855072463768116,-0.6574868018426956
1,0.6,True,7,-0.003,0.22688655672163927,0.7586206896551724,0.9855072463768116,-0.08036584955781845
1,0.7,True,3,0.0024999999999999966,0.0,1.0,1.0,0.6521739130434765
1,0.7,True,5,-0.0015000000000000013,0.06896551724137934,0.9310344827586207,1.0,-0.17784727125996141
1,0.7,True,7,-0.006000000000000003,0.19240379810094954,0.7931034482758621,0.9855072463768116,-0.9697030834930548
1,1.0,True,3,-0.0018333333333333313,0.0,1.0,1.0,-0.4782608695652162
1,1.0,True,5,0.0016666666666666607,0.027236381809095378,0.9655172413793104,0.9927536231884058,0.5190826860351703
1,1.0,True,7,-0.005166666666666669,0.08170914542728636,0.896551724137931,0.9782608695652174,-1.094925854937959
2,0.5,True,3,0.0008333333333333304,0.0,1.0,1.0,0.217391304347825
2,0.5,True,5,0.0013333333333333335,0.13068465767116444,0.8620689655172413,0.9927536231884058,0.7523117791452297
2,0.5,True,7,0.0036666666666666627,0.19965017491254367,0.7931034482758621,0.9927536231884058,1.5744645078852657
2,0.6,True,3,-0.0016666666666666692,0.0,1.0,1.0,-0.4347826086956522
2,0.6,True,5,-0.002333333333333326,0.13793103448275867,0.8620689655172413,1.0,-0.18178149904165963
2,0.6,True,7,0.001666666666666683,0.19240379810094954,0.7931034482758621,0.9855072463768116,1.0302969165069473
2,0.7,True,3,-0.0011666666666666713,0.03448275862068961,0.9655172413793104,1.0,-0.19761928780389482
2,0.7,True,5,0.0023333333333333288,0.24137931034482762,0.7586206896551724,1.0,1.3557954201553495
2,0.7,True,7,-0.0029999999999999944,0.323088455772114,0.6551724137931034,0.9782608695652174,0.2173913043478286
2,1.0,True,3,0.003333333333333341,0.03448275862068961,0.9655172413793104,1.0,0.9762937556743676
2,1.0,True,5,0.0003333333333333327,0.19965017491254367,0.7931034482758621,0.9927536231884058,0.7048992904939636
2,1.0,True,7,-0.001833333333333334,0.25412293853073464,0.7241379310344828,0.9782608695652174,0.3082820538686578
3,0.5,True,3,-0.0018333333333333313,0.03448275862068961,0.9655172413793104,1.0,-0.3715323312821537
3,0.5,True,5,0.0001666666666666733,0.13068465767116444,0.8620689655172413,0.9927536231884058,0.44796395305827535
3,0.5,True,7,0.00016666666666665663,0.19790104947526244,0.7586206896551724,0.9565217391304348,0.6560072631897482
3,0.6,True,3,-0.0010000000000000009,0.03448275862068961,0.9655172413793104,1.0,-0.15414102693432868
3,0.6,True,5,-0.0008333333333333304,0.08895552223888059,0.896551724137931,0.9855072463768116,0.05793738861427872
3,0.6,True,7,0.0020000000000000044,0.2468765617191404,0.7241379310344828,0.9710144927536232,1.2858535929251156
3,0.7,True,3,-0.0013333333333333335,0.03448275862068961,0.9655172413793104,1.0,-0.24109754867345878
3,0.7,True,5,0.001833333333333334,0.0617191404297851,0.9310344827586207,0.9927536231884058,0.6692894851878
3,0.7,True,7,0.0038333333333333357,0.1506746626686657,0.8275862068965517,0.9782608695652174,1.4663573085846862
3,1.0,True,3,-0.001999999999999999,0.03448275862068961,0.9655172413793104,1.0,-0.4150105921517192
3,1.0,True,5,0.0038333333333333388,0.19240379810094954,0.7931034482758621,0.9855072463768116,1.5955143078112917
3,1.0,True,7,0.002166666666666678,0.2468765617191404,0.7241379310344828,0.9710144927536232,1.3293318537946823
sqrt,0.5,True,3,5.551115123125783e-18,0.03448275862068961,0.9655172413793104,1.0,0.10672853828306395
sqrt,0.5,True,5,0.0011666666666666574,0.06896551724137934,0.9310344827586207,1.0,0.5178049026530791
sqrt,0.5,True,7,-0.0021666666666666666,0.20514742628685656,0.7586206896551724,0.9637681159420289,0.0697400719593807
sqrt,0.6,True,3,-0.001166666666666663,0.03448275862068961,0.9655172413793104,1.0,-0.19761928780389265
sqrt,0.6,True,5,-0.0036666666666666735,0.16516741629185405,0.8275862068965517,0.9927536231884058,-0.4453075086586643
sqrt,0.6,True,7,-0.001999999999999999,0.25412293853073464,0.7241379310344828,0.9782608695652174,0.26480379299909296
sqrt,0.7,True,3,0.0013333333333333363,0.03448275862068961,0.9655172413793104,1.0,0.4545546252395845
sqrt,0.7,True,5,-0.002166666666666664,0.13068465767116444,0.8620689655172413,0.9927536231884058,-0.1607316991156379
sqrt,0.7,True,7,-0.0004999999999999976,0.23963018490754617,0.7241379310344828,0.9637681159420289,0.6112512189380954
sqrt,1.0,True,3,0.001166666666666666,0.06896551724137934,0.9310344827586207,1.0,0.5178049026530812
sqrt,1.0,True,5,0.0020000000000000018,0.2123938030984508,0.7586206896551724,0.9710144927536232,1.1791250546420522
sqrt,1.0,True,7,0.0009999999999999953,0.22688655672163927,0.7586206896551724,0.9855072463768116,0.9631124113117441
